id,shopping_list_id,product_id
1,314,440
2,124,264
3,432,500
4,301,108
5,166,281
6,83,103
7,71,16
8,391,169
9,355,301
10,18,172
11,423,27
12,193,8
13,146,497
14,352,161
15,262,56
16,360,23
17,206,231
18,174,342
19,151,246
20,240,240
21,13,135
22,84,102
23,11,171
24,248,445
25,93,89
26,263,480
27,401,490
28,384,159
29,482,347
30,322,16
31,305,107
32,180,114
33,351,325
34,54,434
35,68,18
36,26,296
37,245,182
38,220,51
39,110,481
40,185,467
41,98,250
42,408,329
43,285,374
44,391,187
45,192,214
46,342,466
47,450,434
48,199,52
49,311,77
50,470,139
51,416,407
52,294,453
53,285,169
54,52,471
55,425,265
56,417,448
57,19,59
58,108,460
59,285,126
60,278,271
61,369,71
62,191,298
63,89,103
64,428,258
65,381,18
66,343,432
67,36,483
68,140,129
69,346,204
70,288,232
71,453,381
72,253,258
73,300,213
74,75,40
75,256,209
76,120,208
77,70,39
78,171,216
79,82,323
80,115,347
81,302,231
82,422,181
83,354,314
84,277,108
85,101,25
86,346,95
87,124,411
88,112,5
89,445,250
90,325,30
91,280,4
92,32,373
93,144,45
94,62,213
95,429,7
96,277,69
97,23,291
98,342,309
99,160,59
100,180,196
101,423,455
102,388,286
103,41,427
104,410,446
105,352,228
106,214,247
107,366,238
108,267,106
109,319,113
110,169,11
111,277,219
112,118,119
113,43,433
114,263,119
115,72,255
116,452,266
117,355,193
118,210,223
119,451,23
120,239,490
121,370,114
122,326,451
123,23,455
124,374,144
125,274,454
126,205,188
127,120,40
128,86,345
129,101,403
130,64,459
131,410,14
132,484,311
133,244,200
134,116,102
135,254,247
136,230,345
137,304,45
138,474,463
139,50,494
140,461,423
141,273,186
142,366,322
143,243,79
144,225,183
145,315,270
146,172,325
147,400,98
148,189,19
149,100,220
150,70,330
